"code","Productgroep","Gecontracteerde tarieven","CZ Zorg-op-maatpolis (75%)","CZ Zorgbewustpolis (70%)","NZA Tarief","%"
"1","007","Diagnostiek - vanaf 1 tot en met 99 minuten",152.36,114.27,106.65,160.57,0.94886965186523
"2","008","Diagnostiek - vanaf 100 tot en met 199 minuten",309.63,232.22,216.74,331.94,0.932789058263542
"3","009","Diagnostiek - vanaf 200 tot en met 399 minuten",596.85,447.64,417.8,639.16,0.933803742411916
"4","013","Crisis - vanaf 1 tot en met 99 minuten",159.93,119.94,111.95,170.09,0.940266917514257
"5","014","Crisis - vanaf 100 tot en met 199 minuten",330.65,247.98,231.45,351.47,0.94076308077503
"6","015","Crisis - vanaf 200 tot en met 399 minuten",633.34,475,443.33,670.66,0.944353323591686
"7","016","Crisis - vanaf 400 tot en met 799 minuten",1186.24,889.68,830.37,1264.17,0.938354809875254
"8","027","Aandachtstekort - en gedrag - vanaf 250 tot en met 799 minuten",1253.96,940.47,877.77,1383.04,0.906669366034243
"9","030","Aandachtstekort - en gedrag - vanaf 1800 tot en met 2999 minuten",4458.97,3344.23,3121.28,4767.38,0.935308282536739
"10","031","Aandachtstekort - en gedrag - vanaf 3000 tot en met 5999 minuten",7554.86,5666.14,5288.4,8106.64,0.931934808996082
"11","033","Pervasief - vanaf 250 tot en met 799 minuten",1202.88,902.16,842.01,1323.03,0.909185732749824
"12","038","Pervasief - vanaf 3000 tot en met 5999 minuten",7547.49,5660.62,5283.24,8168.92,0.923927520406614
"13","040","Overige kindertijd - vanaf 250 tot en met 799 minuten",1195.41,896.56,836.79,1290.61,0.926236430835032
"14","041","Overige kindertijd - vanaf 800 tot en met 1799 minuten",2354.51,1765.88,1648.15,2575.1,0.914337307289037
"15","042","Overige kindertijd - vanaf 1800 tot en met 2999 minuten",4423.82,3317.87,3096.67,4681.53,0.944951757224668
"16","048","Delirium dementie en overig - vanaf 1800 tot en met 2999 minuten",4382.76,3287.07,3067.93,4691.51,0.934189631909556
"17","049","Delirium dementie en overig - vanaf 3000 tot en met 5999 minuten",7618.26,5713.7,5332.78,8213.37,0.927543748790083
"18","051","Alcohol - vanaf 250 tot en met 799 minuten",1135.93,851.95,795.15,1246.62,0.911207906178306
"19","052","Alcohol - vanaf 800 tot en met 1799 minuten",2261.21,1695.9,1582.84,2486.78,0.909292337882724
"20","053","Alcohol - vanaf 1800 tot en met 2999 minuten",4311.17,3233.38,3017.82,4688.08,0.919602481186328
"21","054","Alcohol - vanaf 3000 tot en met 5999 minuten",7611.26,5708.44,5327.88,8327,0.914045874864897
"22","056","Overige aan een middel - vanaf 250 tot en met 799 minuten",1137.34,853,796.14,1243.79,0.91441481278994
"23","059","Overige aan een middel - vanaf 1800 tot en met 2999 minuten",4246.5,3184.87,2972.55,4600.79,0.922993659784515
"24","060","Overige aan een middel - vanaf 3000 tot en met 5999 minuten",7614.34,5710.76,5330.04,8118.35,0.937917187605856
"25","066","Schizofrenie - vanaf 1800 tot en met 2999 minuten",4476.62,3357.47,3133.63,4774.89,0.937533639518397
"26","067","Schizofrenie - vanaf 3000 tot en met 5999 minuten",7886.76,5915.07,5520.73,8473.97,0.930704262582945
"27","068","Schizofrenie - vanaf 6000 tot en met 11999 minuten",15017.8,11263.35,10512.46,16392.31,0.916149096741094
"28","087","Bipolair en overig - vanaf 3000 tot en met 5999 minuten",8123.08,6092.31,5686.16,8779.16,0.925268476710756
"29","118","Restgroep diagnoses - vanaf 1800 tot en met 2999 minuten",4617.5,3463.12,3232.25,4881.34,0.945949268028861
"30","119","Restgroep diagnoses - vanaf 3000 tot en met 5999 minuten",7936.19,5952.14,5555.33,8413.84,0.943230439371321
"31","121","Persoonlijkheid - vanaf 250 tot en met 799 minuten",1242.46,931.84,869.72,1363.44,0.911268556005398
"32","131","Aandachtstekort - en gedrag - vanaf 6000 tot en met 11999 minuten",14993.22,11244.91,10495.25,16107.09,0.930845981490139
"33","133","Pervasief - vanaf 6000 tot en met 11999 minuten",14508.43,10881.32,10155.9,15733.48,0.922137378380371
"34","135","Overige kindertijd - vanaf 3000 tot en met 5999 minuten",6997.68,5248.26,4898.38,7367.63,0.949787109287519
"35","137","Delirium dementie en overig - vanaf 6000 tot en met 11999 minuten",14788.35,11091.26,10351.85,15899.53,0.930112399548917
"36","139","Alcohol - vanaf 6000 tot en met 11999 minuten",14744.43,11058.32,10321.1,16005.5,0.92121020899066
"37","141","Overige aan een middel - vanaf 6000 tot en met 11999 minuten",14625.36,10969.02,10237.75,15978.44,0.91531839153259
"38","143","Schizofrenie - vanaf 12000 tot en met 17999 minuten",25478.97,19109.23,17835.28,27960.37,0.911252962675387
"39","144","Schizofrenie - vanaf 18000 tot en met 23999 minuten",36170.41,27127.81,25319.29,39068.18,0.925827873220611
"40","146","Depressie - vanaf 12000 tot en met 17999 minuten",26272.46,19704.34,18390.72,28395.38,0.925237133646389
"41","148","Bipolair en overig - vanaf 6000 tot en met 11999 minuten",15247.3,11435.47,10673.11,16643.82,0.916093781355482
"42","150","Angst - vanaf 12000 tot en met 17999 minuten",26311.98,19733.98,18418.39,27896.38,0.943204100316959
"43","156","Restgroep diagnoses - vanaf 6000 tot en met 11999 minuten",15555.07,11666.3,10888.55,16373.15,0.950035271160406
"44","158","Persoonlijkheid - vanaf 12000 tot en met 17999 minuten",26207.53,19655.65,18345.27,28175.55,0.930151496599002
"45","162","Diagnostiek - vanaf 400 tot en met 799 minuten",1102.3,826.73,771.61,1181.01,0.933353654922482
