,code,Group,Base kind policy (75%),1,Base beneficial (65%),Pay extra
1,7,Diagnostics - from 1 up to and including 99 minutes,109.42,145.8933333,94.83066667,14.58933333
2,8,Diagnostics - from 100 up to and including 199 minutes,226.19,301.5866667,196.0313333,30.15866667
3,9,Diagnostics - from 200 up to and including 399 minutes,435.54,580.72,377.468,58.072
4,27,Attention Deficit - and behaviour - from 250 up to and including 799 minutes,942.43,1256.573333,816.7726667,125.6573333
5,30,Attention Deficit - and behaviour - from 1800 up to and including 2999 minutes,3248.58,4331.44,2815.436,433.144
6,31,Attention Deficit - and behaviour - from 3000 up to and including 5999 minutes,5524.01,7365.346667,4787.475333,736.5346667
7,33,Pervasive - from 250 up to and including 799 minutes,901.54,1202.053333,781.3346667,120.2053333
8,38,Pervasive - from 3000 up to and including 5999 minutes,5566.45,7421.933333,4824.256667,742.1933333
9,40,Other related to childhood period - from 250 up to and including 799 minutes,879.45,1172.6,762.19,117.26
10,41,Other related to childhood period - from 800 up to and including 1799 minutes,1754.72,2339.626667,1520.757333,233.9626667
11,42,Other related to childhood period - from 1800 up to and including 2999 minutes,3190.08,4253.44,2764.736,425.344
12,48,Delirium dementia and other - from 1800 up to and including 2999 minutes,3196.88,4262.506667,2770.629333,426.2506667
13,49,Delirium dementia and other - from 3000 up to and including 5999 minutes,5596.74,7462.32,4850.508,746.232
14,51,Alcohol - from 250 up to and including 799 minutes,849.47,1132.626667,736.2073333,113.2626667
15,52,Alcohol - from 800 up to and including 1799 minutes,1694.54,2259.386667,1468.601333,225.9386667
16,53,Alcohol - from 1800 up to and including 2999 minutes,3194.54,4259.386667,2768.601333,425.9386667
17,54,Alcohol - from 3000 up to and including 5999 minutes,5674.17,7565.56,4917.614,756.556
18,56,Other addictive substances - from 250 up to and including 799 minutes,847.54,1130.053333,734.5346667,113.0053333
19,59,Other addictive substances - from 1800 up to and including 2999 minutes,3135.06,4180.08,2717.052,418.008
20,60,Other addictive substances - from 3000 up to and including 5999 minutes,5531.99,7375.986667,4794.391333,737.5986667
21,66,Schizophrenia - from 1800 up to and including 2999 minutes,3253.7,4338.266667,2819.873333,433.8266667
22,67,Schizophrenia - from 3000 up to and including 5999 minutes,5774.32,7699.093333,5004.410667,769.9093333
