"code","Productgroep","Basis naturapolis (75%)","1","Basis voordelig (65%)","Bijbetalen"
"1","007","Diagnostiek - vanaf 1 tot en met 99 minuten",109.42,145.893333333333,94.8306666666667,14.5893333333333
"2","008","Diagnostiek - vanaf 100 tot en met 199 minuten",226.19,301.586666666667,196.031333333333,30.1586666666667
"3","009","Diagnostiek - vanaf 200 tot en met 399 minuten",435.54,580.72,377.468,58.072
"4","027","Aandachtstekort - en gedrag - vanaf 250 tot en met 799 minuten",942.43,1256.57333333333,816.772666666667,125.657333333333
"5","030","Aandachtstekort - en gedrag - vanaf 1800 tot en met 2999 minuten",3248.58,4331.44,2815.436,433.144
"6","031","Aandachtstekort - en gedrag - vanaf 3000 tot en met 5999 minuten",5524.01,7365.34666666667,4787.47533333333,736.534666666666
"7","033","Pervasief - vanaf 250 tot en met 799 minuten",901.54,1202.05333333333,781.334666666667,120.205333333333
"8","038","Pervasief - vanaf 3000 tot en met 5999 minuten",5566.45,7421.93333333333,4824.25666666667,742.193333333334
"9","040","Overige kindertijd - vanaf 250 tot en met 799 minuten",879.45,1172.6,762.19,117.26
"10","041","Overige kindertijd - vanaf 800 tot en met 1799 minuten",1754.72,2339.62666666667,1520.75733333333,233.962666666667
"11","042","Overige kindertijd - vanaf 1800 tot en met 2999 minuten",3190.08,4253.44,2764.736,425.344
"12","048","Delirium dementie en overig - vanaf 1800 tot en met 2999 minuten",3196.88,4262.50666666667,2770.62933333333,426.250666666666
"13","049","Delirium dementie en overig - vanaf 3000 tot en met 5999 minuten",5596.74,7462.32,4850.508,746.232
"14","051","Alcohol - vanaf 250 tot en met 799 minuten",849.47,1132.62666666667,736.207333333333,113.262666666667
"15","052","Alcohol - vanaf 800 tot en met 1799 minuten",1694.54,2259.38666666667,1468.60133333333,225.938666666666
"16","053","Alcohol - vanaf 1800 tot en met 2999 minuten",3194.54,4259.38666666667,2768.60133333333,425.938666666667
"17","054","Alcohol - vanaf 3000 tot en met 5999 minuten",5674.17,7565.56,4917.614,756.556
"18","056","Overige aan een middel - vanaf 250 tot en met 799 minuten",847.54,1130.05333333333,734.534666666667,113.005333333333
"19","059","Overige aan een middel - vanaf 1800 tot en met 2999 minuten",3135.06,4180.08,2717.052,418.008
"20","060","Overige aan een middel - vanaf 3000 tot en met 5999 minuten",5531.99,7375.98666666667,4794.39133333333,737.598666666666
"21","066","Schizofrenie - vanaf 1800 tot en met 2999 minuten",3253.7,4338.26666666667,2819.87333333333,433.826666666666
"22","067","Schizofrenie - vanaf 3000 tot en met 5999 minuten",5774.32,7699.09333333333,5004.41066666667,769.909333333333
"23","068","Schizofrenie - vanaf 6000 tot en met 11999 minuten",11090.87,14787.8266666667,9612.08733333333,1478.78266666667
"24","087","Bipolair en overig - vanaf 3000 tot en met 5999 minuten",5982.28,7976.37333333333,5184.64266666667,797.637333333333
"25","118","Restgroep diagnoses - vanaf 1800 tot en met 2999 minuten",3326.23,4434.97333333333,2882.73266666667,443.497333333333
"26","119","Restgroep diagnoses - vanaf 3000 tot en met 5999 minuten",5733.34,7644.45333333333,4968.89466666667,764.445333333333
