,code,Group,fee
1,7,Diagnostics - from 1 up to and including 99 minutes,160.57
2,8,Diagnostics - from 100 up to and including 199 minutes,331.94
3,9,Diagnostics - from 200 up to and including 399 minutes,639.16
4,162,Diagnostics - from 400 up to and including 799 minutes,1181.01
5,307,Diagnostics - from 800 minutes,2114.66
6,13,Crisis - from 1 up to and including 99 minutes,170.09
7,14,Crisis - from 100 up to and including 199 minutes,351.47
8,15,Crisis - from 200 up to and including 399 minutes,670.66
9,16,Crisis - from 400 up to and including 799 minutes,1264.17
10,165,Crisis - from 800 up to and including 1199 minutes,2171.53
11,213,Crisis - from 1200 up to and including 1799 minutes,3209.09
12,214,Crisis - from 1800 minutes,5457.5
13,215,Treatment Short - from 1 up to and including 99 minutes,165.35
14,216,Treatment Short - from 100 up to and including 199 minutes,379.79
15,217,Treatment Short - from 200 up to and including 399 minutes,696.11
16,264,Treatment Short - from 400 minutes,1142.78
17,27,Attention Deficit - and behaviour - from 250 up to and including 799 minutes,1383.04
18,169,Attention Deficit - and behaviour - from 800 up to and including 1799 minutes,2671.65
19,30,Attention Deficit - and behaviour - from 1800 up to and including 2999 minutes,4767.38
20,31,Attention Deficit - and behaviour - from 3000 up to and including 5999 minutes,8106.64
21,131,Attention Deficit - and behaviour - from 6000 up to and including 11999 minutes,16107.09
22,170,Attention Deficit - and behaviour - from 12000 up to and including 17999 minutes,26815.23
23,221,Attention Deficit - and behaviour - from 18000 up to and including 23999 minutes,38177.97
24,222,Attention Deficit - and behaviour - from 24000 minutes,52840.39
25,33,Pervasive - from 250 up to and including 799 minutes,1323.03
26,172,Pervasive - from 800 up to and including 1799 minutes,2631.83
27,223,Pervasive - from 1800 up to and including 2999 minutes,4734.71
28,38,Pervasive - from 3000 up to and including 5999 minutes,8168.92
29,133,Pervasive - from 6000 up to and including 11999 minutes,15733.48
30,173,Pervasive - from 12000 up to and including 17999 minutes,27058.55
31,224,Pervasive - from 18000 up to and including 23999 minutes,38457.2
32,225,Pervasive - from 24000 minutes,59946.85
33,40,Other related to childhood period - from 250 up to and including 799 minutes,1290.61
34,41,Other related to childhood period - from 800 up to and including 1799 minutes,2575.1
35,42,Other related to childhood period - from 1800 up to and including 2999 minutes,4681.53
36,135,Other related to childhood period - from 3000 up to and including 5999 minutes,7367.63
37,175,Other related to childhood period - from 6000 up to and including 11999 minutes,15987.15
38,226,Other related to childhood period - from 12000 up to and including 17999 minutes,27663.15
39,227,Other related to childhood period - from 18000 minutes,48585.84
40,228,Delirium dementia and other - from 250 up to and including 799 minutes,1340.77
41,229,Delirium dementia and other - from 800 up to and including 1799 minutes,2518.49
42,48,Delirium dementia and other - from 1800 up to and including 2999 minutes,4691.51
43,49,Delirium dementia and other - from 3000 up to and including 5999 minutes,8213.37
44,137,Delirium dementia and other - from 6000 up to and including 11999 minutes,15899.53
45,177,Delirium dementia and other - from 12000 up to and including 17999 minutes,28092.07
46,178,Delirium dementia and other - from 18000 minutes,45920.65
47,51,Alcohol - from 250 up to and including 799 minutes,1246.62
48,52,Alcohol - from 800 up to and including 1799 minutes,2486.78
49,53,Alcohol - from 1800 up to and including 2999 minutes,4688.08
50,54,Alcohol - from 3000 up to and including 5999 minutes,8327
51,139,Alcohol - from 6000 up to and including 11999 minutes,16005.5
52,179,Alcohol - from 12000 up to and including 17999 minutes,27443.33
53,180,Alcohol - from 18000 minutes,43283.68
54,56,Other addictive substances - from 250 up to and including 799 minutes,1243.79
55,181,Other addictive substances - from 800 up to and including 1799 minutes,2486.55
56,59,Other addictive substances - from 1800 up to and including 2999 minutes,4600.79
57,60,Other addictive substances - from 3000 up to and including 5999 minutes,8118.35
58,141,Other addictive substances - from 6000 up to and including 11999 minutes,15978.44
59,182,Other addictive substances - from 12000 up to and including 17999 minutes,27909.17
