"code","Productgroep","0.7","0.8","1","Controles","Controles","Controles","Controles","NA"
"6","007","Diagnostiek - vanaf 1 tot en met 99 minuten","107.97","123.39",154.240178571429,"107.97","123.39","TRUE","TRUE",NA
"7","008","Diagnostiek - vanaf 100 tot en met 199 minuten","190.74","217.99",272.486607142857,"190.74","217.99","TRUE","TRUE",NA
"8","009","Diagnostiek - vanaf 200 tot en met 399 minuten","380.32","434.65",543.313392857143,"380.32","434.65","TRUE","TRUE",NA
"9","013","Crisis - vanaf 1 tot en met 99 minuten","91.32","104.36",130.453571428571,"91.32","104.36","TRUE","TRUE",NA
"10","014","Crisis - vanaf 100 tot en met 199 minuten","203.93","233.07",291.333035714286,"203.93","233.07","TRUE","TRUE",NA
"11","015","Crisis - vanaf 200 tot en met 399 minuten","482.6","551.54999999999995",689.433035714286,"482.6","551.54999999999995","TRUE","TRUE",NA
"12","016","Crisis - vanaf 400 tot en met 799 minuten","721.28","824.32",1030.4,"721.28","824.32","TRUE","TRUE",NA
"13","027","Aandachtstekort - en gedrag - vanaf 250 tot en met 799 minuten","772.9","883.31",1104.14017857143,"772.9","883.31","TRUE","TRUE",NA
"14","030","Aandachtstekort - en gedrag - vanaf 1800 tot en met 2999 minuten","2953.64","3375.58",4219.48035714286,"2953.64","3375.58","TRUE","TRUE",NA
"15","031","Aandachtstekort - en gedrag - vanaf 3000 tot en met 5999 minuten","4834.55","5525.19",6906.493,"4834.55","5525.19","TRUE","TRUE",NA
"16","033","Pervasief - vanaf 250 tot en met 799 minuten","739.39","845.01",1056.26696428571,"739.39","845.01","TRUE","TRUE",NA
"17","038","Pervasief - vanaf 3000 tot en met 5999 minuten","4682.84","5351.81",6689.76696428571,"4682.84","5351.81","TRUE","TRUE",NA
"18","040","Overige kindertijd - vanaf 250 tot en met 799 minuten","804.67","919.62",1149.52678571429,"804.67","919.62","TRUE","TRUE",NA
"19","041","Overige kindertijd - vanaf 800 tot en met 1799 minuten","1652.41","1888.47",2360.58660714286,"1652.41","1888.47","TRUE","TRUE",NA
"20","042","Overige kindertijd - vanaf 1800 tot en met 2999 minuten","2886.84","3299.24",4124.05357142857,"2886.84","3299.24","TRUE","TRUE",NA
