,code,Group,nza,0.75,100
7,7,Diagnostics - from 1 up to and including 99 minutes,160.57,100.51,134.0133333
8,8,Diagnostics - from 100 up to and including 199 minutes,331.94,206.69,275.5866667
9,9,Diagnostics - from 200 up to and including 399 minutes,639.16,398.3,531.0666667
10,13,Crisis - from 1 up to and including 99 minutes,170.09,105.78,141.04
11,14,Crisis - from 100 up to and including 199 minutes,351.47,218.9,291.8666667
12,15,Crisis - from 200 up to and including 399 minutes,670.66,419.45,559.2666667
13,16,Crisis - from 400 up to and including 799 minutes,1264.17,787.09,1049.453333
14,27,Attention Deficit - and behaviour - from 250 up to and including 799 minutes,1383.04,860.65,1147.533333
15,30,Attention Deficit - and behaviour - from 1800 up to and including 2999 minutes,4767.38,2973.61,3964.813333
16,31,Attention Deficit - and behaviour - from 3000 up to and including 5999 minutes,8106.64,5051.93,6735.906667
17,33,Pervasive - from 250 up to and including 799 minutes,1323.03,823.31,1097.746667
18,38,Pervasive - from 3000 up to and including 5999 minutes,8168.92,5086.21,6781.613333
19,40,Other related to childhood period - from 250 up to and including 799 minutes,1290.61,805.13,1073.506667
20,41,Other related to childhood period - from 800 up to and including 1799 minutes,2575.1,1607.57,2143.426667
21,42,Other related to childhood period - from 1800 up to and including 2999 minutes,4681.53,2919.73,3892.973333
22,48,Delirium dementia and other - from 1800 up to and including 2999 minutes,4691.51,2920.21,3893.613333
23,49,Delirium dementia and other - from 3000 up to and including 5999 minutes,8213.37,5110.55,6814.066667
24,51,Alcohol - from 250 up to and including 799 minutes,1246.62,776.25,1035
25,52,Alcohol - from 800 up to and including 1799 minutes,2486.78,1548.67,2064.893333
26,53,Alcohol - from 1800 up to and including 2999 minutes,4688.08,2918.73,3891.64
27,54,Alcohol - from 3000 up to and including 5999 minutes,8327,5182.07,6909.426667
28,56,Other addictive substances - from 250 up to and including 799 minutes,1243.79,774.77,1033.026667
29,59,Other addictive substances - from 1800 up to and including 2999 minutes,4600.79,2864.47,3819.293333
30,60,Other addictive substances - from 3000 up to and including 5999 minutes,8118.35,5058.64,6744.853333
31,66,Schizophrenia - from 1800 up to and including 2999 minutes,4774.89,2975.63,3967.506667
32,67,Schizophrenia - from 3000 up to and including 5999 minutes,8473.97,5277.85,7037.133333
33,68,Schizophrenia - from 6000 up to and including 11999 minutes,16392.31,10200.2,13600.26667
34,87,Bipolar and other - from 3000 up to and including 5999 minutes,8779.16,5465,7286.666667
35,118,Rest Group diagnostics - from 1800 up to and including 2999 minutes,4881.34,3044.56,4059.413333
36,119,Rest Group diagnostics - from 3000 up to and including 5999 minutes,8413.84,5243.71,6991.613333
37,121,Personality - from 250 up to and including 799 minutes,1363.44,848.92,1131.893333
38,131,Attention Deficit - and behaviour - from 6000 up to and including 11999 minutes,16107.09,10044.87,13393.16
39,133,Pervasive - from 6000 up to and including 11999 minutes,15733.48,9795.37,13060.49333
40,135,Other related to childhood period - from 3000 up to and including 5999 minutes,7367.63,4598.03,6130.706667
41,137,Delirium dementia and other - from 6000 up to and including 11999 minutes,15899.53,9894.92,13193.22667
42,139,Alcohol - from 6000 up to and including 11999 minutes,16005.5,9964.81,13286.41333
43,141,Other addictive substances - from 6000 up to and including 11999 minutes,15978.44,9945.33,13260.44
44,143,Schizophrenia - from 12000 up to and including 17999 minutes,27960.37,17397.72,23196.96
45,144,Schizophrenia - from 18000 up to and including 23999 minutes,39068.18,24293.96,32391.94667
46,146,Depression - from 12000 up to and including 17999 minutes,28395.38,17677.86,23570.48
47,148,Bipolar and other - from 6000 up to and including 11999 minutes,16643.82,10352.83,13803.77333
48,150,Anxiety - from 12000 up to and including 17999 minutes,27896.38,17408.64,23211.52
49,156,Rest Group diagnostics - from 6000 up to and including 11999 minutes,16373.15,10213.1,13617.46667
50,158,Personality - from 12000 up to and including 17999 minutes,28175.55,17523.72,23364.96
51,162,Diagnostics - from 400 up to and including 799 minutes,1181.01,736.38,981.84
