"code","Productgroep","nza","0.75","100"
"7","007","Diagnostiek - vanaf 1 tot en met 99 minuten","160.57","100.51",134.013333333333
"8","008","Diagnostiek - vanaf 100 tot en met 199 minuten","331.94","206.69",275.586666666667
"9","009","Diagnostiek - vanaf 200 tot en met 399 minuten","639.16","398.3",531.066666666667
"10","013","Crisis - vanaf 1 tot en met 99 minuten","170.09","105.78",141.04
"11","014","Crisis - vanaf 100 tot en met 199 minuten","351.47","218.9",291.866666666667
"12","015","Crisis - vanaf 200 tot en met 399 minuten","670.66","419.45",559.266666666667
"13","016","Crisis - vanaf 400 tot en met 799 minuten","1264.17","787.09",1049.45333333333
"14","027","Aandachtstekort - en gedrag - vanaf 250 tot en met 799 minuten","1383.04","860.65",1147.53333333333
"15","030","Aandachtstekort - en gedrag - vanaf 1800 tot en met 2999 minuten","4767.38","2973.61",3964.81333333333
"16","031","Aandachtstekort - en gedrag - vanaf 3000 tot en met 5999 minuten","8106.64","5051.93",6735.90666666667
"17","033","Pervasief - vanaf 250 tot en met 799 minuten","1323.03","823.31",1097.74666666667
"18","038","Pervasief - vanaf 3000 tot en met 5999 minuten","8168.92","5086.21",6781.61333333333
"19","040","Overige kindertijd - vanaf 250 tot en met 799 minuten","1290.6099999999999","805.13",1073.50666666667
"20","041","Overige kindertijd - vanaf 800 tot en met 1799 minuten","2575.1","1607.57",2143.42666666667
"21","042","Overige kindertijd - vanaf 1800 tot en met 2999 minuten","4681.53","2919.73",3892.97333333333
"22","048","Delirium dementie en overig - vanaf 1800 tot en met 2999 minuten","4691.51","2920.21",3893.61333333333
"23","049","Delirium dementie en overig - vanaf 3000 tot en met 5999 minuten","8213.3700000000008","5110.55",6814.06666666667
"24","051","Alcohol - vanaf 250 tot en met 799 minuten","1246.6199999999999","776.25",1035
"25","052","Alcohol - vanaf 800 tot en met 1799 minuten","2486.7800000000002","1548.67",2064.89333333333
"26","053","Alcohol - vanaf 1800 tot en met 2999 minuten","4688.08","2918.73",3891.64
"27","054","Alcohol - vanaf 3000 tot en met 5999 minuten","8327","5182.07",6909.42666666667
"28","056","Overige aan een middel - vanaf 250 tot en met 799 minuten","1243.79","774.77",1033.02666666667
"29","059","Overige aan een middel - vanaf 1800 tot en met 2999 minuten","4600.79","2864.47",3819.29333333333
"30","060","Overige aan een middel - vanaf 3000 tot en met 5999 minuten","8118.35","5058.6400000000003",6744.85333333333
"31","066","Schizofrenie - vanaf 1800 tot en met 2999 minuten","4774.8900000000003","2975.63",3967.50666666667
"32","067","Schizofrenie - vanaf 3000 tot en met 5999 minuten","8473.9699999999993","5277.85",7037.13333333333
"33","068","Schizofrenie - vanaf 6000 tot en met 11999 minuten","16392.310000000001","10200.200000000001",13600.2666666667
"34","087","Bipolair en overig - vanaf 3000 tot en met 5999 minuten","8779.16","5465",7286.66666666667
"35","118","Restgroep diagnoses - vanaf 1800 tot en met 2999 minuten","4881.34","3044.56",4059.41333333333
"36","119","Restgroep diagnoses - vanaf 3000 tot en met 5999 minuten","8413.84","5243.71",6991.61333333333
"37","121","Persoonlijkheid - vanaf 250 tot en met 799 minuten","1363.44","848.92",1131.89333333333
"38","131","Aandachtstekort - en gedrag - vanaf 6000 tot en met 11999 minuten","16107.09","10044.870000000001",13393.16
"39","133","Pervasief - vanaf 6000 tot en met 11999 minuten","15733.48","9795.3700000000008",13060.4933333333
"40","135","Overige kindertijd - vanaf 3000 tot en met 5999 minuten","7367.63","4598.03",6130.70666666667
"41","137","Delirium dementie en overig - vanaf 6000 tot en met 11999 minuten","15899.53","9894.92",13193.2266666667
"42","139","Alcohol - vanaf 6000 tot en met 11999 minuten","16005.5","9964.81",13286.4133333333
"43","141","Overige aan een middel - vanaf 6000 tot en met 11999 minuten","15978.44","9945.33",13260.44
"44","143","Schizofrenie - vanaf 12000 tot en met 17999 minuten","27960.37","17397.72",23196.96
"45","144","Schizofrenie - vanaf 18000 tot en met 23999 minuten","39068.18","24293.96",32391.9466666667
"46","146","Depressie - vanaf 12000 tot en met 17999 minuten","28395.38","17677.86",23570.48
"47","148","Bipolair en overig - vanaf 6000 tot en met 11999 minuten","16643.82","10352.83",13803.7733333333
"48","150","Angst - vanaf 12000 tot en met 17999 minuten","27896.38","17408.64",23211.52
"49","156","Restgroep diagnoses - vanaf 6000 tot en met 11999 minuten","16373.15","10213.1",13617.4666666667
"50","158","Persoonlijkheid - vanaf 12000 tot en met 17999 minuten","28175.55","17523.72",23364.96
"51","162","Diagnostiek - vanaf 400 tot en met 799 minuten","1181.01","736.38",981.84
"52","163","Diagnostiek - vanaf 800 minuten","2114.66","1317.26",1756.34666666667
"53","165","Crisis - vanaf 800 tot en met 1199 minuten","2171.5300000000002","1351.81",1802.41333333333
"54","169","Aandachtstekort - en gedrag - vanaf 800 tot en met 1799 minuten","2671.65","1666.44",2221.92
"55","170","Aandachtstekort - en gedrag - vanaf 12000 tot en met 17999 minuten","26815.23","16686.95",22249.2666666667
"56","172","Pervasief - vanaf 800 tot en met 1799 minuten","2631.83","1637.73",2183.64
"57","173","Pervasief - vanaf 12000 tot en met 17999 minuten","27058.55","16887.560000000001",22516.7466666667
"58","175","Overige kindertijd - vanaf 6000 tot en met 11999 minuten","15987.15","9985.7900000000009",13314.3866666667
"59","177","Delirium dementie en overig - vanaf 12000 tot en met 17999 minuten","28092.07","17503.240000000002",23337.6533333333
"60","178","Delirium dementie en overig - vanaf 18000 minuten","45920.65","28500.76",38001.0133333333
"61","179","Alcohol - vanaf 12000 tot en met 17999 minuten","27443.33","17086.91",22782.5466666667
