,code,Group,0.75,Contracted rates
1,7,Diagnostics - from 1 up to and including 99 minutes,121.25,161.6666667
2,8,Diagnostics - from 100 up to and including 199 minutes,215.55,287.4
3,9,Diagnostics - from 200 up to and including 399 minutes,431.33,575.1066667
4,13,Crisis - from 1 up to and including 99 minutes,106.91,142.5466667
5,14,Crisis - from 100 up to and including 199 minutes,237.78,317.04
6,15,Crisis - from 200 up to and including 399 minutes,508.55,678.0666667
7,16,Crisis - from 400 up to and including 799 minutes,835.72,1114.293333
8,27,Attention Deficit - and behaviour - from 250 up to and including 799 minutes,866.17,1154.893333
9,30,Attention Deficit - and behaviour - from 1800 up to and including 2999 minutes,3287.11,4382.813333
10,31,Attention Deficit - and behaviour - from 3000 up to and including 5999 minutes,5455.53,7274.04
11,33,Pervasive - from 250 up to and including 799 minutes,835.06,1113.413333
12,38,Pervasive - from 3000 up to and including 5999 minutes,5372.63,7163.506667
13,40,Other related to childhood period - from 250 up to and including 799 minutes,921.46,1228.613333
14,41,Other related to childhood period - from 800 up to and including 1799 minutes,1654,2205.333333
15,42,Other related to childhood period - from 1800 up to and including 2999 minutes,3034.51,4046.013333
16,48,Delirium dementia and other - from 1800 up to and including 2999 minutes,3048.66,4064.88
17,49,Delirium dementia and other - from 3000 up to and including 5999 minutes,5278.26,7037.68
18,51,Alcohol - from 250 up to and including 799 minutes,782.31,1043.08
19,52,Alcohol - from 800 up to and including 1799 minutes,1597,2129.333333
20,53,Alcohol - from 1800 up to and including 2999 minutes,2954.56,3939.413333
21,54,Alcohol - from 3000 up to and including 5999 minutes,5165.11,6886.813333
22,56,Other addictive substances - from 250 up to and including 799 minutes,803.34,1071.12
23,59,Other addictive substances - from 1800 up to and including 2999 minutes,2939.97,3919.96
24,60,Other addictive substances - from 3000 up to and including 5999 minutes,5342.82,7123.76
25,66,Schizophrenia - from 1800 up to and including 2999 minutes,3290.89,4387.853333
26,67,Schizophrenia - from 3000 up to and including 5999 minutes,5707.84,7610.453333
27,68,Schizophrenia - from 6000 up to and including 11999 minutes,10605.49,14140.65333
28,87,Bipolar and other - from 3000 up to and including 5999 minutes,5761.79,7682.386667
29,118,Rest Group diagnostics - from 1800 up to and including 2999 minutes,3353.99,4471.986667
30,119,Rest Group diagnostics - from 3000 up to and including 5999 minutes,5662.22,7549.626667
31,121,Personality - from 250 up to and including 799 minutes,842.46,1123.28
32,131,Attention Deficit - and behaviour - from 6000 up to and including 11999 minutes,11255.09,15006.78667
