"code","Productgroep","0.75","Gecontracteerde tarieven"
"1",7,"Diagnostiek - vanaf 1 tot en met 99 minuten",121.25,161.666666666667
"2",8,"Diagnostiek - vanaf 100 tot en met 199 minuten",215.55,287.4
"3",9,"Diagnostiek - vanaf 200 tot en met 399 minuten",431.33,575.106666666667
"4",13,"Crisis - vanaf 1 tot en met 99 minuten",106.91,142.546666666667
"5",14,"Crisis - vanaf 100 tot en met 199 minuten",237.78,317.04
"6",15,"Crisis - vanaf 200 tot en met 399 minuten",508.55,678.066666666667
"7",16,"Crisis - vanaf 400 tot en met 799 minuten",835.72,1114.29333333333
"8",27,"Aandachtstekort - en gedrag - vanaf 250 tot en met 799 minuten",866.17,1154.89333333333
"9",30,"Aandachtstekort - en gedrag - vanaf 1800 tot en met 2999 minuten",3287.11,4382.81333333333
"10",31,"Aandachtstekort - en gedrag - vanaf 3000 tot en met 5999 minuten",5455.53,7274.04
"11",33,"Pervasief - vanaf 250 tot en met 799 minuten",835.06,1113.41333333333
"12",38,"Pervasief - vanaf 3000 tot en met 5999 minuten",5372.63,7163.50666666667
"13",40,"Overige kindertijd - vanaf 250 tot en met 799 minuten",921.46,1228.61333333333
"14",41,"Overige kindertijd - vanaf 800 tot en met 1799 minuten",1654,2205.33333333333
"15",42,"Overige kindertijd - vanaf 1800 tot en met 2999 minuten",3034.51,4046.01333333333
"16",48,"Delirium dementie en overig - vanaf 1800 tot en met 2999 minuten",3048.66,4064.88
"17",49,"Delirium dementie en overig - vanaf 3000 tot en met 5999 minuten",5278.26,7037.68
"18",51,"Alcohol - vanaf 250 tot en met 799 minuten",782.31,1043.08
"19",52,"Alcohol - vanaf 800 tot en met 1799 minuten",1597,2129.33333333333
"20",53,"Alcohol - vanaf 1800 tot en met 2999 minuten",2954.56,3939.41333333333
"21",54,"Alcohol - vanaf 3000 tot en met 5999 minuten",5165.11,6886.81333333333
"22",56,"Overige aan een middel - vanaf 250 tot en met 799 minuten",803.34,1071.12
"23",59,"Overige aan een middel - vanaf 1800 tot en met 2999 minuten",2939.97,3919.96
"24",60,"Overige aan een middel - vanaf 3000 tot en met 5999 minuten",5342.82,7123.76
"25",66,"Schizofrenie - vanaf 1800 tot en met 2999 minuten",3290.89,4387.85333333333
"26",67,"Schizofrenie - vanaf 3000 tot en met 5999 minuten",5707.84,7610.45333333333
"27",68,"Schizofrenie - vanaf 6000 tot en met 11999 minuten",10605.49,14140.6533333333
"28",87,"Bipolair en overig - vanaf 3000 tot en met 5999 minuten",5761.79,7682.38666666667
"29",118,"Restgroep diagnoses - vanaf 1800 tot en met 2999 minuten",3353.99,4471.98666666667
"30",119,"Restgroep diagnoses - vanaf 3000 tot en met 5999 minuten",5662.22,7549.62666666667
"31",121,"Persoonlijkheid - vanaf 250 tot en met 799 minuten",842.46,1123.28
"32",131,"Aandachtstekort - en gedrag - vanaf 6000 tot en met 11999 minuten",11255.09,15006.7866666667
"33",133,"Pervasief - vanaf 6000 tot en met 11999 minuten",10415.88,13887.84
"34",135,"Overige kindertijd - vanaf 3000 tot en met 5999 minuten",5181.49,6908.65333333333
"35",137,"Delirium dementie en overig - vanaf 6000 tot en met 11999 minuten",10213.68,13618.24
"36",139,"Alcohol - vanaf 6000 tot en met 11999 minuten",10320.52,13760.6933333333
"37",141,"Overige aan een middel - vanaf 6000 tot en met 11999 minuten",9987.82,13317.0933333333
"38",143,"Schizofrenie - vanaf 12000 tot en met 17999 minuten",18053.47,24071.2933333333
"39",144,"Schizofrenie - vanaf 18000 tot en met 23999 minuten",25460.92,33947.8933333333
"40",146,"Depressie - vanaf 12000 tot en met 17999 minuten",18715.73,24954.3066666667
